No.,図形名,文字,UCS,文字,代替変換区分
683,GJ000683,􀛼,U+307E,ま,2
684,GJ000684,􀜆,U+3055,さ,2
685,GJ000685,􀜈,U+306A,な,2
686,GJ000686,􀜐,U+304B,か,2
687,GJ000687,􀜓,U+307F,み,2
688,GJ000688,􀜟,U+309D,ゝ,2
689,GJ000689,􀜠,U+307F,み,2
690,GJ000690,􀜡,U+3053,こ,2
691,GJ000691,􀜥,U+307F,み,2
692,GJ000692,􀜸,U+6B1E,欞,2
693,GJ000693,􀜹,U+96A3,隣,2
694,GJ000694,􀜺,U+5FC3,心,2
695,GJ000695,􀝃,U+306A,な,2
696,GJ000696,􀝄,U+5750,坐,2
697,GJ000697,􀝗,U+6625,春,2
698,GJ000698,􀝙,U+306F,は,2
699,GJ000699,􀞄,U+305C,ぜ,1
700,GJ000700,􀞅,U+4E02,丂,2
701,GJ000701,􀞌,U+5DE5,工,1
702,GJ000702,􀞎,U+4E5E,乞,2
703,GJ000703,􀞏,U+4EBB,亻,2
704,GJ000704,􀞕,U+4E00,一,2
705,GJ000705,􀞛,U+6BCB,毋,2
706,GJ000706,􀞝,U+4E3F,丿,2
707,GJ000707,􀞪,U+6208,戈,2
708,GJ000708,􀞭,U+4E12,丒,1
709,GJ000709,􀞯,U+4E00,一,2
710,GJ000710,􀞱,U+4E0E,与,1
711,GJ000711,􀞳,U+5DF3,巳,2
712,GJ000712,􀟀,U+624D,才,1
713,GJ000713,􀟄,U+5F10,弐,2
714,GJ000714,􀟓,U+3402,㐂,1
715,GJ000715,􀟙,U+2000B,𠀋,1
716,GJ000716,􀟝,U+53E2,叢,1
717,GJ000717,􀟟,U+6771,東,1
718,GJ000718,􀟤,U+4E98,亘,2
719,GJ000719,􀟨,U+4E98,亘,1
720,GJ000720,􀟯,U+4E98,亘,1
721,GJ000721,􀟶,U+5186,円,2
